YEAR,MO,DY,HR,TEMP,PRCP,HMDT,WND_SPD,ATM_PRESS,REF
2021,4,12,19,8.38,0.0,71.69,5.15,99.16,202104
2021,4,12,20,7.63,0.0,74.25,4.86,99.25,202104
2021,4,12,21,7.08,0.0,76.06,4.7,99.31,202104
2021,4,12,22,6.63,0.0,77.69,4.67,99.34,202104
2021,4,12,23,6.23,0.0,79.56,4.72,99.38,202104
2021,4,13,0,5.8,0.0,81.81,4.85,99.4,202104
2021,4,13,1,5.37,0.0,84.0,5.11,99.43,202104
2021,4,13,2,5.03,0.0,85.19,5.56,99.5,202104
2021,4,13,3,4.67,0.0,86.06,5.78,99.54,202104
2021,4,13,4,4.19,0.0,87.94,5.7,99.56,202104
2021,4,13,5,3.92,0.0,89.31,5.87,99.59,202104
2021,4,13,6,4.56,0.0,86.38,6.2,99.62,202104
2021,4,13,7,5.97,0.0,80.81,5.81,99.67,202104
2021,4,13,8,7.26,0.0,73.75,6.27,99.71,202104
2021,4,13,9,7.74,0.0,71.38,6.07,99.74,202104
2021,4,13,10,8.22,0.0,69.0,5.87,99.74,202104
2021,4,13,11,8.74,0.0,66.06,5.93,99.71,202104
2021,4,13,12,9.21,0.0,62.5,6.22,99.69,202104
2021,4,13,13,9.5,0.0,59.31,6.57,99.68,202104
2021,4,13,14,9.61,0.0,58.12,6.65,99.66,202104
2021,4,13,15,9.62,0.0,58.19,6.39,99.66,202104
2021,4,13,16,9.42,0.0,59.31,5.96,99.68,202104
2021,4,13,17,8.92,0.0,62.44,5.07,99.69,202104
2021,4,13,18,8.01,0.0,69.88,3.94,99.72,202104
2021,4,13,19,7.34,0.0,73.88,3.52,99.77,202104
2021,4,13,20,6.67,0.0,76.31,3.23,99.77,202104
2021,4,13,21,6.28,0.0,78.12,3.06,99.78,202104
2021,4,13,22,5.86,0.0,80.0,3.26,99.78,202104
2021,4,13,23,5.56,0.0,81.94,3.94,99.8,202104
2021,4,14,0,5.05,0.0,84.56,4.94,99.82,202104
2021,4,14,1,4.26,0.0,86.19,5.48,99.84,202104
2021,4,14,2,3.6,0.0,84.06,5.64,99.87,202104
2021,4,14,3,3.01,0.0,82.5,5.17,99.86,202104
2021,4,14,4,2.51,0.0,82.38,4.55,99.86,202104
2021,4,14,5,2.37,0.0,82.88,4.29,99.88,202104
2021,4,14,6,3.37,0.0,77.19,4.89,99.9,202104
2021,4,14,7,4.65,0.0,64.81,5.59,99.86,202104
2021,4,14,8,5.46,0.0,58.38,6.0,99.84,202104
2021,4,14,9,6.13,0.0,56.25,5.89,99.8,202104
2021,4,14,10,6.69,0.0,56.12,5.26,99.77,202104
2021,4,14,11,7.0,0.0,57.88,4.77,99.72,202104
2021,4,14,12,7.27,0.0,59.5,4.79,99.67,202104
2021,4,14,13,7.45,0.0,60.44,4.93,99.63,202104
2021,4,14,14,7.48,0.0,61.0,5.03,99.6,202104
2021,4,14,15,7.32,0.0,61.88,5.0,99.59,202104
2021,4,14,16,6.96,0.0,63.31,4.98,99.59,202104
2021,4,14,17,6.4,0.0,65.81,4.89,99.59,202104
2021,4,14,18,5.58,0.0,71.19,4.34,99.6,202104
2021,4,14,19,5.03,0.0,75.12,4.11,99.65,202104
2021,4,14,20,4.55,0.0,77.62,4.37,99.65,202104
2021,4,14,21,4.1,0.0,80.0,5.01,99.6,202104
2021,4,14,22,3.73,0.0,81.06,5.8,99.56,202104
2021,4,14,23,3.28,0.0,82.75,6.01,99.52,202104
2021,4,15,0,2.85,0.0,84.88,5.82,99.48,202104
2021,4,15,1,2.61,0.0,87.5,6.13,99.44,202104
2021,4,15,2,2.99,0.0,87.81,6.93,99.41,202104
2021,4,15,3,3.34,0.0,89.62,6.99,99.4,202104
2021,4,15,4,3.64,0.0,92.06,6.8,99.42,202104
2021,4,15,5,3.69,0.0,93.88,6.59,99.45,202104
2021,4,15,6,4.26,0.0,89.62,6.91,99.49,202104
2021,4,15,7,5.05,0.0,82.56,7.32,99.54,202104
2021,4,15,8,6.06,0.0,76.94,7.41,99.57,202104
2021,4,15,9,7.05,0.0,72.06,7.09,99.56,202104
2021,4,15,10,7.79,0.0,68.12,6.6,99.51,202104
2021,4,15,11,8.4,0.0,65.62,6.29,99.47,202104
2021,4,15,12,8.89,0.0,63.94,5.96,99.42,202104
2021,4,15,13,9.19,0.0,63.25,5.53,99.4,202104
2021,4,15,14,9.17,0.0,64.06,5.15,99.36,202104
2021,4,15,15,8.72,0.0,67.19,4.86,99.35,202104
2021,4,15,16,8.05,0.0,71.44,4.56,99.38,202104
2021,4,15,17,7.19,0.0,76.12,3.97,99.41,202104
2021,4,15,18,6.08,0.0,83.69,2.82,99.45,202104
2021,4,15,19,5.48,0.0,86.44,1.62,99.49,202104
2021,4,15,20,5.42,0.0,84.0,0.41,99.53,202104
2021,4,15,21,5.04,0.0,86.88,1.92,99.53,202104
2021,4,15,22,5.0,0.0,88.81,3.0,99.51,202104
2021,4,15,23,5.15,0.0,89.25,3.8,99.49,202104
2021,4,16,0,5.19,0.0,90.12,4.54,99.47,202104
2021,4,16,1,5.09,0.0,92.12,4.92,99.45,202104
2021,4,16,2,4.93,0.0,94.44,5.14,99.44,202104
2021,4,16,3,4.68,0.0,95.62,5.16,99.46,202104
2021,4,16,4,4.07,0.0,96.31,4.76,99.45,202104
2021,4,16,5,3.9,0.0,93.38,4.2,99.45,202104
2021,4,16,6,4.9,0.0,83.56,4.14,99.46,202104
2021,4,16,7,5.44,0.0,77.25,3.85,99.46,202104
2021,4,16,8,6.08,0.0,74.25,3.68,99.46,202104
2021,4,16,9,6.58,0.0,73.69,3.51,99.44,202104
2021,4,16,10,7.08,0.0,73.56,3.37,99.42,202104
2021,4,16,11,7.56,0.0,73.19,3.37,99.38,202104
2021,4,16,12,7.96,0.0,72.5,3.49,99.34,202104
2021,4,16,13,8.12,0.0,72.25,3.67,99.31,202104
2021,4,16,14,7.9,0.0,73.25,3.94,99.26,202104
2021,4,16,15,7.38,0.0,75.25,3.99,99.27,202104
2021,4,16,16,6.51,0.0,78.62,4.15,99.32,202104
2021,4,16,17,5.19,0.0,84.69,4.54,99.35,202104
2021,4,16,18,3.86,0.0,92.56,4.57,99.35,202104
2021,4,16,19,3.42,0.0,94.25,4.26,99.35,202104
2021,4,16,20,3.12,0.0,95.19,4.01,99.34,202104
2021,4,16,21,3.01,0.0,95.94,3.8,99.32,202104
2021,4,16,22,3.0,0.0,96.38,3.62,99.31,202104
2021,4,16,23,3.07,0.0,95.94,3.61,99.29,202104
2021,4,17,0,3.14,0.0,96.12,3.62,99.27,202104
2021,4,17,1,3.2,0.0,96.81,3.53,99.25,202104
2021,4,17,2,3.31,0.0,97.44,3.34,99.26,202104
2021,4,17,3,3.33,0.0,98.69,3.34,99.26,202104
